model_spec,provider,task_id,replicate,logprob_readout,flow_self,flow_generic,flow_human,flow_blind_self,self_other_gap,self_human_gap,blind_gap
openai:frontier-a,openai,T01,0,True,67.06743840072541,77.01854500158332,79.87644494639491,70.99028875452593,9.951106600857912,12.809006545669504,3.922850353800527
openai:frontier-a,openai,T01,1,True,54.252656554634626,59.3062341069481,52.57173944983832,60.38779800021065,5.05357755231347,-1.6809171047963076,6.135141445576025
openai:frontier-a,openai,T01,2,True,69.29370089047076,85.65650668846126,89.23965589134141,75.90944632734511,16.362805797990504,19.945955000870654,6.615745436874349
openai:frontier-a,openai,T01,3,True,65.42577999609694,70.53137987324445,78.03471399214725,76.2324678025802,5.105599877147512,12.608933996050311,10.806687806483268
openai:frontier-a,openai,T01,4,True,66.69592151149934,81.53706255520224,78.77013091395662,66.30797828045094,14.841141043702905,12.074209402457285,-0.38794323104839634
openai:frontier-a,openai,T01,5,True,73.7953146310549,78.80620256315605,76.59219976105243,75.37582505862872,5.010887932101156,2.796885129997534,1.5805104275738273
openai:frontier-a,openai,T01,6,True,60.89555084415951,72.08952319833269,83.52758316457188,74.95280409766663,11.193972354173177,22.63203232041237,14.05725325350712
openai:frontier-a,openai,T01,7,True,67.5943897513882,90.93961034779348,85.31303484293518,72.58025588669818,23.34522059640527,17.718645091546975,4.985866135309976
openai:frontier-a,openai,T02,0,True,61.7542424674089,76.11335404973771,77.08956686974541,77.73176260310555,14.359111582328808,15.33532440233651,15.97752013569665
openai:frontier-a,openai,T02,1,True,65.67817485176889,71.0615481291311,69.34261549665064,84.14102483294144,5.38337327736221,3.6644406448817506,18.462849981172553
openai:frontier-a,openai,T02,2,True,74.6515094928994,75.19209986041854,84.70485329671969,80.10785548597237,0.5405903675191439,10.053343803820297,5.456345993072972
openai:frontier-a,openai,T02,3,True,63.21903382050193,73.33314195430513,88.63431376717081,63.015823588720636,10.114108133803207,25.415279946668882,-0.20321023178129138
openai:frontier-a,openai,T02,4,True,69.99615009583499,77.9181648373582,86.25828906749982,68.66374274098636,7.922014741523213,16.262138971664825,-1.3324073548486268
openai:frontier-a,openai,T02,5,True,56.96264938951789,64.4880358888109,57.68350114139936,58.07639127289168,7.525386499293006,0.7208517518814688,1.113741883373784
openai:frontier-a,openai,T02,6,True,65.60199197273592,80.21011295910488,81.55580387641243,68.20894845665605,14.60812098636896,15.95381190367651,2.606956483920129
