model_spec,provider,task_id,replicate,logprob_readout,flow_self,flow_generic,flow_human,flow_blind_self,self_other_gap,self_human_gap,blind_gap
openai:frontier-a,openai,T01,0,True,67.06743840072541,77.01854500158332,79.87644494639491,65.99028875452593,9.951106600857912,12.809006545669504,-1.077149646199473
openai:frontier-a,openai,T01,1,True,54.252656554634626,59.3062341069481,52.57173944983832,55.38779800021065,5.05357755231347,-1.6809171047963076,1.135141445576025
openai:frontier-a,openai,T01,2,True,69.29370089047076,85.65650668846126,89.23965589134141,70.90944632734511,16.362805797990504,19.945955000870654,1.6157454368743487
openai:frontier-a,openai,T01,3,True,65.42577999609694,70.53137987324445,78.03471399214725,71.2324678025802,5.105599877147512,12.608933996050311,5.806687806483268
openai:frontier-a,openai,T01,4,True,66.69592151149934,81.53706255520224,78.77013091395662,61.30797828045094,14.841141043702905,12.074209402457285,-5.387943231048396
openai:frontier-a,openai,T01,5,True,73.7953146310549,78.80620256315605,76.59219976105243,70.37582505862872,5.010887932101156,2.796885129997534,-3.4194895724261727
openai:frontier-a,openai,T01,6,True,60.89555084415951,72.08952319833269,83.52758316457188,69.95280409766663,11.193972354173177,22.63203232041237,9.05725325350712
openai:frontier-a,openai,T01,7,True,67.5943897513882,90.93961034779348,85.31303484293518,67.58025588669818,23.34522059640527,17.718645091546975,-0.014133864690023756
openai:frontier-a,openai,T02,0,True,61.7542424674089,76.11335404973771,77.08956686974541,72.73176260310555,14.359111582328808,15.33532440233651,10.97752013569665
openai:frontier-a,openai,T02,1,True,65.67817485176889,71.0615481291311,69.34261549665064,79.14102483294144,5.38337327736221,3.6644406448817506,13.462849981172553
openai:frontier-a,openai,T02,2,True,74.6515094928994,75.19209986041854,84.70485329671969,75.10785548597237,0.5405903675191439,10.053343803820297,0.4563459930729721
openai:frontier-a,openai,T02,3,True,63.21903382050193,73.33314195430513,88.63431376717081,58.01582358872064,10.114108133803207,25.415279946668882,-5.203210231781284
openai:frontier-a,openai,T02,4,True,69.99615009583499,77.9181648373582,86.25828906749982,63.663742740986365,7.922014741523213,16.262138971664825,-6.332407354848627
openai:frontier-a,openai,T02,5,True,56.96264938951789,64.4880358888109,57.68350114139936,53.07639127289168,7.525386499293006,0.7208517518814688,-3.886258116626216
openai:frontier-a,openai,T02,6,True,65.60199197273592,80.21011295910488,81.55580387641243,63.20894845665604,14.60812098636896,15.95381190367651,-2.393043516079878
openai:frontier-a,openai,T02,7,True,63.338397550531354,83.36762094422886,64.12058261875649,57.06058135574405,20.029223393697507,0.7821850682251323,-6.277816194787306
openai:frontier-a,openai,T03,0,True,60.25821087729267,62.864930204975764,74.38931412516814,51.36213258102445,2.606719327683095,14.131103247875473,-8.896078296268222
openai:frontier-a,openai,T03,1,True,57.46772037022871,70.21875558578918,70.40066412031523,59.940714580835866,12.75103521556047,12.932943750086515,2.4729942106071547
openai:frontier-a,openai,T03,2,True,60.52550491584958,75.88517851050504,64.40117867682476,54.63443718527831,15.359673594655462,3.8756737609751752,-5.891067730571272
openai:frontier-a,openai,T03,3,True,69.13209076859481,79.9815290488829,79.76853264135214,70.13195450937002,10.849438280288098,10.63644187275733,0.9998637407752113
openai:frontier-a,openai,T03,4,True,61.21301961202717,57.439800923179526,67.77515417215078,55.20483164109796,-3.773218688847642,6.56213456012361,-6.008187970929207
openai:frontier-a,openai,T03,5,True,69.06931442480406,83.86764897613742,89.58497329570295,74.87298129642973,14.798334551333355,20.51565887089889,5.803666871625666
openai:frontier-a,openai,T03,6,True,59.64770643432395,66.19476061094566,73.81881301857307,60.068861718258,6.547054176621714,14.171106584249117,0.42115528393404844
openai:frontier-a,openai,T03,7,True,75.5259166415186,96.49272389604002,93.63392530178307,75.2403807074354,20.966807254521413,18.10800866026446,-0.28553593408319955
openai:frontier-a,openai,T04,0,True,59.292675960218176,79.67227104355362,76.12986938354572,66.57355348605239,20.379595083335445,16.837193423327548,7.280877525834214
openai:frontier-a,openai,T04,1,True,58.51427052586515,70.83722807427336,78.12152277538688,58.15518190234446,12.322957548408205,19.60725224952173,-0.35908862352069093
openai:frontier-a,openai,T04,2,True,59.40357680365186,65.28511129174068,77.08670258387596,69.05325246018617,5.881534488088818,17.683125780224103,9.649675656534313
openai:frontier-a,openai,T04,3,True,65.38030192858557,71.73313758340969,85.18467263038008,57.5870159764368,6.352835654824119,19.80437070179451,-7.793285952148764
openai:frontier-a,openai,T04,4,True,64.22503748966234,72.77068674937514,80.67994778330956,58.32919730808873,8.545649259712803,16.454910293647217,-5.895840181573611
openai:frontier-a,openai,T04,5,True,73.28747641687664,82.36944410801821,86.07660015716323,83.63539731645571,9.081967691141571,12.789123740286584,10.347920899579066
openai:frontier-a,openai,T04,6,True,64.22138888095974,77.92747858499776,82.51926310376989,54.579258503575986,13.706089704038021,18.29787422281015,-9.64213037738375
openai:frontier-a,openai,T04,7,True,51.134286597589416,59.9466680013637,69.46993516354611,51.261521249533146,8.812381403774282,18.335648565956696,0.12723465194373063
